City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,5.33,85,95,4.93,NZ,1690985240
1,tazovsky,67.4667,78.7,19.38,56,1,7.69,RU,1690985241
2,remire-montjoly,4.9167,-52.2667,31.02,66,75,3.09,GF,1690985242
3,nacozari de garcia,30.3742,-109.6908,25.49,47,0,0.92,MX,1690985242
4,port-aux-francais,-49.35,70.2167,1.95,72,14,17.85,TF,1690985243
5,makaha,21.4694,-158.2175,25.95,78,0,0.0,US,1690985244
6,st. john's,47.5649,-52.7093,19.88,84,100,3.6,CA,1690985123
7,yellowknife,62.456,-114.3525,14.2,76,64,2.68,CA,1690985245
8,grytviken,-54.2811,-36.5092,0.05,98,100,4.22,GS,1690985246
9,carnarvon,-24.8667,113.6333,17.74,69,99,5.53,AU,1690985246
10,punta arenas,-53.15,-70.9167,-1.05,93,75,8.23,CL,1690984897
11,mankera,31.3866,71.4407,42.02,26,0,4.43,PK,1690985248
12,zemetchino,53.4973,42.6163,27.7,53,57,3.0,RU,1690985249
13,bintulu,3.1667,113.0333,25.23,94,40,1.54,MY,1690985160
14,utrik,11.2278,169.8474,28.14,79,50,5.91,MH,1690985251
15,haiku-pauwela,20.9219,-156.3051,24.47,78,0,4.12,US,1690985252
16,tucuma,-0.1833,-50.05,30.12,63,13,2.74,BR,1690985253
17,bilibino,68.0546,166.4372,9.37,80,100,2.52,RU,1690985254
18,adamstown,-25.066,-130.1015,20.88,63,100,7.61,PN,1690985254
19,east london,-33.0153,27.9116,20.01,55,0,6.42,ZA,1690985255
20,edinburgh of the seven seas,-37.0676,-12.3116,11.38,58,100,2.89,SH,1690985256
21,iskateley,67.6803,53.1512,27.4,47,64,3.81,RU,1690985256
22,waitangi,-43.9535,-176.5597,6.57,89,84,0.89,NZ,1690985257
23,roma,43.2128,-75.4557,21.6,70,100,0.45,US,1690985258
24,verkhnevilyuysk,63.4453,120.3167,14.6,64,70,1.07,RU,1690985259
25,codrington,-38.2667,141.9667,11.84,68,4,8.55,AU,1690985259
26,bethel,41.3712,-73.414,22.72,60,46,2.54,US,1690984999
27,punta del este,-34.9667,-54.95,27.06,82,0,7.2,UY,1690985261
28,urengoy,65.9667,78.3667,26.66,52,42,8.22,RU,1690985262
29,blackmans bay,-43.0167,147.3167,9.07,74,24,3.97,AU,1690985012
30,turan,16.0678,108.2208,29.99,66,75,0.51,VN,1690985263
31,kodiak,57.79,-152.4072,10.73,93,0,3.09,US,1690985264
32,lubango,-14.9172,13.4925,26.12,13,100,1.48,AO,1690985264
33,vilyuchinsk,52.9306,158.4028,11.93,99,100,2.47,RU,1690985265
34,birjand,32.8663,59.2211,30.45,16,0,11.95,IR,1690985266
35,broome,42.2506,-75.833,20.37,69,0,2.06,US,1690985266
36,berezovyy,51.6667,135.7,11.75,96,100,0.82,RU,1690985267
37,puerto ayora,-0.7393,-90.3518,25.98,91,68,1.79,EC,1690985268
38,lauro de freitas,-12.8944,-38.3272,28.01,74,75,6.17,BR,1690985269
39,charters towers,-20.1,146.2667,14.66,75,8,4.2,AU,1690985269
40,leiston,52.2061,1.5776,21.05,75,100,10.6,GB,1690985270
41,margaret river,-33.95,115.0667,8.63,87,100,8.72,AU,1690985271
42,aasiaat,68.7098,-52.8699,2.04,86,100,2.44,GL,1690985025
43,okakarara,-20.5833,17.4333,24.86,9,0,6.14,NA,1690985272
44,albany,42.6001,-73.9662,20.91,69,70,0.45,US,1690985119
45,kyzyl-mazhalyk,51.1333,90.6,16.66,86,98,1.13,RU,1690985273
46,gadzhiyevo,69.2551,33.3362,22.95,52,10,2.16,RU,1690985274
47,lazaro cardenas,17.9583,-102.2,25.83,88,100,2.73,MX,1690985274
48,korla,41.7597,86.1469,33.01,16,0,2.58,CN,1690985275
49,whitehorse,60.7161,-135.0538,8.43,100,75,1.03,CA,1690985277
50,la ronge,55.1001,-105.2842,16.2,76,0,3.62,CA,1690985278
51,taoudenni,22.6783,-3.9836,49.7,4,6,4.14,ML,1690985279
52,avarua,-21.2078,-159.775,23.03,78,75,3.09,CK,1690985279
53,ribeira grande,38.5167,-28.7,26.22,89,40,5.36,PT,1690985280
54,sailana,23.4667,74.9167,25.25,83,99,6.39,IN,1690985280
55,kavieng,-2.5744,150.7967,27.69,78,100,3.53,PG,1690985281
56,olonkinbyen,70.9221,-8.7187,5.94,90,100,2.08,SJ,1690985282
57,bodaybo,57.8506,114.1933,14.84,75,12,2.24,RU,1690985283
58,ligatne,57.2343,25.0406,22.36,73,100,0.89,LV,1690985284
59,saldanha,-33.0117,17.9442,18.73,47,10,2.01,ZA,1690985285
60,palmer,42.1584,-72.3287,21.48,58,40,2.06,US,1690985111
61,badger,64.8,-147.5333,15.45,83,75,2.57,US,1690985287
62,amga,60.8953,131.9608,9.92,95,9,0.45,RU,1690985288
63,ryotsu-minato,38.0833,138.4333,27.12,77,100,1.47,JP,1690985289
64,thompson,55.7435,-97.8558,16.09,94,100,5.14,CA,1690985290
65,bantay,17.5847,120.3892,26.65,85,100,10.52,PH,1690985291
66,slavyanka,42.8633,131.3847,21.37,97,80,1.18,RU,1690985292
67,puerto natales,-51.7236,-72.4875,1.0,86,100,7.8,CL,1690985293
